dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.951957,13.499738,12.605366,3.727182,-6.045452,-0.609920,0.067883
0.020000,17.023922,13.504479,12.677487,3.606053,-6.056464,-0.550613,0.063657
0.020000,17.093484,13.508769,12.747181,3.484706,-6.067333,-0.543480,0.059539
0.020000,17.160635,13.512637,12.814444,3.363132,-6.078727,-0.569676,0.055533
0.020000,17.225370,13.516110,12.879272,3.241393,-6.086947,-0.410987,0.051643
0.020000,17.287681,13.519213,12.941660,3.119431,-6.098075,-0.556430,0.047874
0.020000,17.347564,13.521973,13.001607,2.997316,-6.105792,-0.385817,0.044228
0.020000,17.405013,13.524414,13.059107,2.875027,-6.114405,-0.430682,0.040709
0.020000,17.460023,13.526561,13.114159,2.752585,-6.122136,-0.386512,0.037321
0.020000,17.512589,13.528438,13.166758,2.629973,-6.130595,-0.422984,0.034065
0.020000,17.562707,13.530068,13.216903,2.507248,-6.136242,-0.282351,0.030945
0.020000,17.610374,13.531473,13.264590,2.384363,-6.144226,-0.399173,0.027964
0.020000,17.655585,13.532673,13.309818,2.261376,-6.149350,-0.256218,0.025124
0.020000,17.698338,13.533690,13.352583,2.138270,-6.155301,-0.297537,0.022427
0.020000,17.738631,13.534542,13.392885,2.015063,-6.160368,-0.253365,0.019876
0.020000,17.776459,13.535249,13.430719,1.891729,-6.166699,-0.316550,0.017472
0.020000,17.811821,13.535827,13.466086,1.768345,-6.169223,-0.126200,0.015218
0.020000,17.844714,13.536293,13.498983,1.644832,-6.175653,-0.321512,0.013114
0.020000,17.875137,13.536662,13.529408,1.521271,-6.178028,-0.118717,0.011163
0.020000,17.903089,13.536949,13.557361,1.397636,-6.181751,-0.186178,0.009366
0.020000,17.928566,13.537167,13.582840,1.273937,-6.184966,-0.160727,0.007724
0.020000,17.951569,13.537327,13.605843,1.150154,-6.189115,-0.207463,0.006239
0.020000,17.972096,13.537442,13.626370,1.026363,-6.189544,-0.021453,0.004911
0.020000,17.990146,13.537520,13.644420,0.902494,-6.193461,-0.195857,0.003741
0.020000,18.005717,13.537570,13.659992,0.778593,-6.195082,-0.081017,0.002731
0.020000,18.018811,13.537600,13.673085,0.654668,-6.196228,-0.057311,0.001880
0.020000,18.029425,13.537617,13.683699,0.530691,-6.198837,-0.130446,0.001190
0.020000,18.037559,13.537624,13.691833,0.406713,-6.198905,-0.003439,0.000661
0.020000,18.043213,13.537627,13.697487,0.282714,-6.199965,-0.052966,0.000292
0.020000,18.046387,13.537628,13.700662,0.158708,-6.200284,-0.015958,0.000086
0.020000,18.047528,13.537628,13.701802,0.057019,-5.084449,55.791730,0.000011
0.020000,18.047701,13.537628,13.701975,0.008670,-2.417441,133.350398,0.000000
0.020000,18.047701,13.537628,13.701975,0.000000,-0.433521,99.196015,0.000000
