dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.580705,11.529599,13.095035,2.304414,-5.464880,0.329736,0.034065
0.020000,17.624588,11.531026,13.138940,2.195281,-5.456662,0.410927,0.030945
0.020000,17.666295,11.532255,13.180665,2.086255,-5.451307,0.267736,0.027964
0.020000,17.705828,11.533304,13.220213,1.977370,-5.444243,0.353215,0.025124
0.020000,17.743190,11.534193,13.257585,1.868597,-5.438672,0.278559,0.022427
0.020000,17.778380,11.534937,13.292783,1.759935,-5.433074,0.279898,0.019876
0.020000,17.811402,11.535554,13.325810,1.651349,-5.429300,0.188653,0.017472
0.020000,17.842255,11.536058,13.356668,1.542891,-5.422903,0.319884,0.015218
0.020000,17.870942,11.536465,13.385358,1.434479,-5.420591,0.115612,0.013114
0.020000,17.897463,11.536787,13.411881,1.326171,-5.415395,0.259795,0.011163
0.020000,17.921821,11.537037,13.436240,1.217931,-5.412010,0.169212,0.009366
0.020000,17.944015,11.537226,13.458435,1.109755,-5.408797,0.160669,0.007724
0.020000,17.964047,11.537366,13.478467,1.001615,-5.406994,0.090170,0.006239
0.020000,17.981918,11.537466,13.496338,0.893565,-5.402530,0.223197,0.004911
0.020000,17.997628,11.537534,13.512049,0.785531,-5.401667,0.043148,0.003741
0.020000,18.011179,11.537578,13.525600,0.677544,-5.399353,0.115680,0.002731
0.020000,18.022571,11.537604,13.536992,0.569601,-5.397164,0.109462,0.001880
0.020000,18.031805,11.537618,13.546225,0.461666,-5.396773,0.019554,0.001190
0.020000,18.038880,11.537625,13.553301,0.353772,-5.394688,0.104241,0.000661
0.020000,18.043798,11.537627,13.558219,0.245892,-5.393974,0.035722,0.000292
0.020000,18.046558,11.537628,13.560979,0.138030,-5.393118,0.042782,0.000086
0.020000,18.047550,11.537628,13.561971,0.049589,-4.422061,48.552846,0.000011
0.020000,18.047701,11.537628,13.562122,0.007540,-2.102419,115.982086,0.000000
0.020000,18.047701,11.537628,13.562122,0.000000,-0.377024,86.269745,0.000000
